Altium Designer Pick and Place Locations
G:\Git\R32-Micro\Source\Project Outputs for PicoPrint\Pick Place for PicoPrint.csv

========================================================================================================================
File Design Information:

Date:       01/05/18
Time:       20:40
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R69","Res-0402-10K","TopLayer","RESC1005X40N","98.933","27.686","360","Resistor"
"R68","Res-0402-1K","TopLayer","RESC1005X40N","42.672","14.224","90","Resistor"
"R67","Res-0402-100K","TopLayer","RESC1005X40N","76.200","14.478","270","Resistor"
"R66","Res-0402-49.9K","TopLayer","RESC1005X40N","101.600","28.321","90","Resistor"
"R65","Res-0402-10K","TopLayer","RESC1005X40N","43.815","14.224","270","Resistor"
"R55","Res-0805-0R11","TopLayer","RES_2012-0805","23.850","50.325","180","Resistor"
"R54","Res-0402-100K","TopLayer","RESC1005X40N","100.965","17.653","180","Resistor"
"R53","Res-0402-1K","TopLayer","RESC1005X40N","100.965","18.923","180","Resistor"
"R52","Res-0402-100K","TopLayer","RESC1005X40N","91.686","17.653","180","Resistor"
"R51","Res-0402-1K","TopLayer","RESC1005X40N","91.694","18.923","180","Resistor"
"R50","Res-0402-10R","TopLayer","RESC1005X40N","98.298","17.653","360","Resistor"
"R49","Res-0402-100K","TopLayer","RESC1005X40N","69.678","26.797","270","Resistor"
"R48","Res-0402-1K","TopLayer","RESC1005X40N","69.678","29.464","270","Resistor"
"R47","Res-0402-10R","TopLayer","RESC1005X40N","70.948","26.797","90","Resistor"
"R46","Res-0402-100K","TopLayer","RESC1005X40N","67.183","15.240","90","Resistor"
"R45","Res-0402-100K","TopLayer","RESC1005X40N","53.213","15.240","90","Resistor"
"R44","Res-0402-1K","TopLayer","RESC1005X40N","67.183","17.907","270","Resistor"
"R43","Res-0402-1K","TopLayer","RESC1005X40N","53.213","17.907","270","Resistor"
"R42","Res-0402-10R","TopLayer","RESC1005X40N","68.453","15.240","90","Resistor"
"R41","Res-0402-10R","TopLayer","RESC1005X40N","54.483","15.240","90","Resistor"
"R40","Res-0402-100K","TopLayer","RESC1005X40N","46.228","15.240","90","Resistor"
"R39","Res-0402-100K","TopLayer","RESC1005X40N","60.198","15.240","90","Resistor"
"R38","Res-0402-1K","TopLayer","RESC1005X40N","46.228","17.907","270","Resistor"
"R37","Res-0402-1K","TopLayer","RESC1005X40N","60.198","17.907","270","Resistor"
"R36","Res-0402-10R","TopLayer","RESC1005X40N","47.498","15.240","90","Resistor"
"R35","Res-0402-10R","TopLayer","RESC1005X40N","61.468","15.240","90","Resistor"
"R34","Res-0402-1K","TopLayer","RESC1005X40N","64.700","26.900","90","Resistor"
"R33","Res-0402-4K7","TopLayer","RESC1005X40N","63.700","26.900","90","Resistor"
"R32","Res-0402-1K","TopLayer","RESC1005X40N","59.700","26.900","90","Resistor"
"R31","Res-0402-4K7","TopLayer","RESC1005X40N","58.700","26.900","90","Resistor"
"R30","Res-0402-22R","TopLayer","RESC1005X40N","13.200","11.303","360","Resistor"
"R29","Res-0402-22R","TopLayer","RESC1005X40N","13.200","13.208","360","Resistor"
"R28","Res-0402-1K","TopLayer","RESC1005X40N","54.700","26.900","90","Resistor"
"R27","Res-0402-4K7","TopLayer","RESC1005X40N","53.700","26.900","90","Resistor"
"R26","Res-0402-10K","TopLayer","RESC1005X40N","46.990","35.179","270","Resistor"
"R25","Res-0402-1K","TopLayer","RESC1005X40N","49.700","26.900","90","Resistor"
"R24","Res-0402-4K7","TopLayer","RESC1005X40N","48.700","26.900","90","Resistor"
"R23","Res-0402-10K","TopLayer","RESC1005X40N","6.604","43.561","90","Resistor"
"R22","Res-0402-1K","TopLayer","RESC1005X40N","104.800","48.400","90","Resistor"
"R21","Res-0402-10K","TopLayer","RESC1005X40N","60.325","35.171","270","Resistor"
"R20","Res-0402-1K","TopLayer","RESC1005X40N","104.800","53.200","90","Resistor"
"R19","Res-0402-1K","TopLayer","RESC1005X40N","14.478","35.052","180","Resistor"
"R18","Res-0402-10K","TopLayer","RESC1005X40N","12.065","35.052","180","Resistor"
"R17","Res-0402-47K","TopLayer","RESC1005X40N","4.826","35.052","180","Resistor"
"R16","Res-0402-47K","TopLayer","RESC1005X40N","7.239","35.052","180","Resistor"
"R14","Res-0402-470R","TopLayer","RESC1005X40N","23.876","11.303","180","Resistor"
"R12","Res-0402-100R","TopLayer","RESC1005X40N","35.306","12.200","270","Resistor"
"R11","Res-0402-100R","TopLayer","RESC1005X40N","34.163","12.200","270","Resistor"
"R10","Res-0402-2K2","TopLayer","RESC1005X40N","40.428","11.176","360","Resistor"
"R9","Res-0402-2K2","TopLayer","RESC1005X40N","43.053","11.176","180","Resistor"
"R7","Res-0402-470R","TopLayer","RESC1005X40N","10.287","60.198","360","Resistor"
"R6","Res-0402-470R","TopLayer","RESC1005X40N","86.868","28.194","180","Resistor"
"R5","Res-0402-1K","TopLayer","RESC1005X40N","86.868","25.654","180","Resistor"
"R4","Res-0402-1K","TopLayer","RESC1005X40N","102.870","28.321","270","Resistor"
"R3","Res-0402-1K","TopLayer","RESC1005X40N","6.985","17.780","180","Resistor"
"R2","Res-0402-4K7","TopLayer","RESC1005X40N","84.074","22.733","180","Resistor"
"Q7","SI7111EDN-T1-GE3","TopLayer","PowerPAK_1218-8_Single","80.772","15.367","270","MOSFET SMD P-CH 30V 60A PowerPAK1212"
"Q5","SiSA72DN","TopLayer","PowerPAK_1218-8_Single","92.964","14.859","360","N-CH MOSFET 40V 60A"
"Q4","AO3400A","TopLayer","SOT23-3_New","71.150","17.145","270","N-CH MOSFET 30V 5.7A SOT23"
